name	Sample	OTU	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
ALDEx2_wi	300	100	mix	1	0.989005495	0.000134813	0.005	0.070710678	5.00E-04	0.007071068	0.000909091	0.012856487	1.11E-05	0.000110832	0.999988889	0.000110832	0.01	0.099748427
Corncob	300	100	mix	1	0.988950549	0.000315419	0.006666667	0.074423149	0.001	0.009974843	0.001678322	0.016799608	7.22E-05	0.000335606	0.999927778	0.000335606	0.048333333	0.212395079
DACOMP	300	100	mix	1	0.988972527	0.000318863	0	0	0	0	0	0	3.89E-05	0.000322406	0.999961111	0.000322406	0.015	0.121857483
DESeq2	300	100	mix	1	0.986472527	0.002934199	0.069095065	0.156247527	0.029	0.057230908	0.036968554	0.069222469	0.002888889	0.003203308	0.997111111	0.003203308	0.645904935	0.435465483
fastANCOM	300	100	mix	1	0.989010989	0.000110166	0.005	0.070710678	5.00E-04	0.007071068	0.000909091	0.012856487	5.56E-06	7.86E-05	0.999994444	7.86E-05	0.005	0.070710678
LEfSe	300	100	mix	1	0.988950549	0.0004151	0.015	0.121857483	0.0015	0.012185748	0.002727273	0.022155906	7.78E-05	0.00039398	0.999922222	0.00039398	0.045	0.207824336
limma_voom	300	100	mix	1	0.988934066	0.000510937	0.0175	0.126585423	0.002	0.014035132	0.003560606	0.025004095	1.00E-04	0.000500512	0.9999	0.000500512	0.0575	0.230672493
LinDA	300	100	mix	1	0.98878022	0.000970398	0.028222222	0.149515171	0.005	0.021849186	0.007746013	0.034429662	0.000288889	0.001081343	0.999711111	0.001081343	0.096777778	0.287475799
MaAsLin2	300	100	mix	1	0.98893956	0.000441729	0.02	0.140351318	0.002	0.014035132	0.003636364	0.025518421	9.44E-05	0.000413458	0.999905556	0.000413458	0.06	0.238082795
Wilcox	300	100	mix	1	0.988950549	0.000351798	0.01125	0.101178669	0.0015	0.012185748	0.002532468	0.020696562	7.78E-05	0.000377906	0.999922222	0.000377906	0.04875	0.213691972
ZicoSeq	300	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	300	100	mix	10	0.964873626	0.00801367	0.098579921	0.053489149	0.2705	0.152959909	0.141271165	0.074242046	0.027411111	0.008581443	0.972588889	0.008581443	0.901420079	0.053489149
Corncob	300	100	mix	10	0.957868132	0.015739245	0.100273369	0.052525214	0.352	0.20956044	0.148830599	0.071001484	0.0354	0.01752261	0.9646	0.01752261	0.899726631	0.052525214
DACOMP	300	100	mix	10	0.980043956	0.002404646	0.094585664	0.09528172	0.0935	0.093010779	0.093821167	0.093722729	0.010105556	0.001612646	0.989894444	0.001612646	0.905414336	0.09528172
DESeq2	300	100	mix	10	0.955736264	0.011859682	0.102173314	0.042873224	0.39	0.197979746	0.158236088	0.064957578	0.037977778	0.013190073	0.962022222	0.013190073	0.897826686	0.042873224
fastANCOM	300	100	mix	10	0.977857143	0.004841975	0.099029173	0.089663966	0.1255	0.116479989	0.107502782	0.094262305	0.012672222	0.005055799	0.987327778	0.005055799	0.900970827	0.089663966
LEfSe	300	100	mix	10	0.951747253	0.016334367	0.100487304	0.042766798	0.43	0.224615808	0.157842585	0.064320204	0.042455556	0.01825626	0.957544444	0.01825626	0.899512696	0.042766798
limma_voom	300	100	mix	10	0.971681319	0.008283499	0.099955306	0.068706253	0.199	0.149367174	0.12756976	0.083873404	0.019733333	0.009133458	0.980266667	0.009133458	0.900044694	0.068706253
LinDA	300	100	mix	10	0.970868132	0.008811197	0.098534278	0.068023101	0.203	0.150011725	0.126696921	0.082393102	0.0206	0.00968634	0.9794	0.00968634	0.901465722	0.068023101
MaAsLin2	300	100	mix	10	0.952934066	0.018796154	0.102397322	0.050091663	0.42	0.243508691	0.156763559	0.06978887	0.041144444	0.021070639	0.958855556	0.021070639	0.897602678	0.050091663
Wilcox	300	100	mix	10	0.9535	0.01696575	0.102389499	0.049211516	0.413	0.226467298	0.15721172	0.067994329	0.040494444	0.018985596	0.959505556	0.018985596	0.897610501	0.049211516
ZicoSeq	300	100	mix	10	0.98893956	0.001010153	0.000789474	0.011164844	0.0015	0.021213203	0.001034483	0.014629795	8.89E-05	0.001257079	0.999911111	0.001257079	0.004210526	0.059545834
ALDEx2_wi	300	100	mix	2	0.984543956	0.002274005	0.090187229	0.137290729	0.0455	0.067098892	0.058204333	0.083803608	0.005022222	0.002171275	0.994977778	0.002171275	0.909812771	0.137290729
Corncob	300	100	mix	2	0.984521978	0.002865959	0.091058287	0.136915179	0.0505	0.074346398	0.061892741	0.088584886	0.0051	0.002922134	0.9949	0.002922134	0.903941713	0.151098007
DACOMP	300	100	mix	2	0.981302198	0.00894278	0.092989401	0.121105621	0.0875	0.129528523	0.07749562	0.092149378	0.008766667	0.010058943	0.991233333	0.010058943	0.877010599	0.195717658
DESeq2	300	100	mix	2	0.976901099	0.004880932	0.091711874	0.079002805	0.1255	0.111633598	0.102816162	0.087012883	0.013638889	0.005066635	0.986361111	0.005066635	0.908288126	0.079002805
fastANCOM	300	100	mix	2	0.985296703	0.002237642	0.09940873	0.170604543	0.041	0.062759011	0.055634735	0.084792352	0.004211111	0.002106389	0.995788889	0.002106389	0.87559127	0.220472184
LEfSe	300	100	mix	2	0.983027473	0.00373379	0.089665499	0.117566159	0.064	0.08329882	0.070906716	0.088667853	0.006761111	0.003928414	0.993238889	0.003928414	0.910334501	0.117566159
limma_voom	300	100	mix	2	0.983285714	0.002913861	0.089873973	0.121694754	0.0605	0.078232677	0.070193883	0.090061563	0.006461111	0.002859659	0.993538889	0.002859659	0.910126027	0.121694754
LinDA	300	100	mix	2	0.982604396	0.002883548	0.095819227	0.118644367	0.0695	0.080324405	0.078511268	0.090964581	0.00725	0.002741952	0.99275	0.002741952	0.904180773	0.118644367
MaAsLin2	300	100	mix	2	0.983263736	0.003099775	0.096590152	0.12589068	0.0635	0.079683734	0.073561335	0.090490036	0.006516667	0.003100319	0.993483333	0.003100319	0.903409848	0.12589068
Wilcox	300	100	mix	2	0.983450549	0.003507429	0.088088603	0.119814857	0.0585	0.078476383	0.066902315	0.086812213	0.006272222	0.003677382	0.993727778	0.003677382	0.911911397	0.119814857
ZicoSeq	300	100	mix	2	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	300	100	mix	5	0.975489011	0.005957313	0.096424985	0.079132356	0.15	0.130326224	0.112648681	0.089146296	0.015338889	0.006411163	0.984661111	0.006411163	0.903575015	0.079132356
Corncob	300	100	mix	5	0.971054945	0.010390365	0.096819851	0.069364563	0.2	0.159773709	0.122755585	0.084378739	0.020377778	0.011476104	0.979622222	0.011476104	0.903180149	0.069364563
DACOMP	300	100	mix	5	0.980747253	0.002007197	0.10347472	0.089787607	0.1005	0.089945545	0.101356427	0.088568004	0.009472222	0.001473287	0.990527778	0.001473287	0.89652528	0.089787607
