name	Sample	OTU	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
ALDEx2_wi	20	100	mix	1	0.988994505	0.000173402	0	0	0	0	0	0	1.67E-05	0.000175329	0.999983333	0.000175329	0.01	0.099748427
Corncob	20	100	mix	1	0.98893956	0.000366664	0.011666667	0.10233183	0.0015	0.012185748	0.002587413	0.021081965	8.89E-05	0.000375435	0.999911111	0.000375435	0.058333333	0.232572341
DACOMP	20	100	mix	1	0.988983516	0.000279515	0	0	0	0	0	0	2.78E-05	0.000282621	0.999972222	0.000282621	0.01	0.099748427
DESeq2	20	100	mix	1	0.987186813	0.002598701	0.062847222	0.173253266	0.02	0.049112731	0.027511889	0.066315395	0.002066667	0.002766958	0.997933333	0.002766958	0.647152778	0.447567655
fastANCOM	20	100	mix	1	0.988978022	0.000267819	0	0	0	0	0	0	3.33E-05	0.000270794	0.999966667	0.000270794	0.015	0.121857483
LEfSe	20	100	mix	1	0.988970289	0.000262662	0	0	0	0	0	0	4.12E-05	0.00026558	0.999958848	0.00026558	0.026455026	0.16091039
limma_voom	20	100	mix	1	0.988901099	0.000467394	0.001	0.014142136	5.00E-04	0.007071068	0.000666667	0.00942809	0.000116667	0.000515261	0.999883333	0.000515261	0.064	0.243723214
LinDA	20	100	mix	1	0.988862637	0.000589953	0.001666667	0.023570226	5.00E-04	0.007071068	0.000769231	0.010878566	0.000155556	0.000610514	0.999844444	0.000610514	0.083333333	0.275056463
MaAsLin2	20	100	mix	1	0.988944724	0.000360226	0	0	0	0	0	0	6.70E-05	0.000364228	0.999932998	0.000364228	0.040201005	0.196925766
Wilcox	20	100	mix	1	0.988994505	0.000173402	0	0	0	0	0	0	1.67E-05	0.000175329	0.999983333	0.000175329	0.01	0.099748427
ZicoSeq	20	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	20	100	mix	10	0.986813187	0.002110474	0.083019841	0.189633864	0.023	0.048815106	0.034071412	0.069945986	0.002477778	0.002106743	0.997522222	0.002106743	0.776980159	0.365518344
Corncob	20	100	mix	10	0.986285714	0.002812921	0.066728355	0.157115021	0.025	0.049874214	0.033335443	0.065444731	0.003033333	0.002973736	0.996966667	0.002973736	0.753271645	0.385854786
DACOMP	20	100	mix	10	0.986862637	0.00209691	0.061714286	0.137820937	0.022	0.048245603	0.031167142	0.066488664	0.002416667	0.002166921	0.997583333	0.002166921	0.623285714	0.443597261
DESeq2	20	100	mix	10	0.979571429	0.003852956	0.093018343	0.082251785	0.0985	0.089373869	0.092618987	0.079311232	0.010638889	0.003984332	0.989361111	0.003984332	0.906981657	0.082251785
fastANCOM	20	100	mix	10	0.987230769	0.002041965	0.07622619	0.209159045	0.017	0.042662636	0.026292969	0.064115056	0.001988889	0.002022241	0.998011111	0.002022241	0.70377381	0.42720224
LEfSe	20	100	mix	10	0.986774725	0.002560918	0.079130037	0.196894619	0.023	0.048815106	0.032187808	0.065729541	0.002516667	0.002688348	0.997483333	0.002688348	0.705869963	0.417365196
limma_voom	20	100	mix	10	0.984186813	0.003173446	0.076609744	0.125126907	0.045	0.069274779	0.05379009	0.080016284	0.005377778	0.003271225	0.994622222	0.003271225	0.918390256	0.141020551
LinDA	20	100	mix	10	0.984571429	0.003211557	0.078102735	0.126916728	0.042	0.066770438	0.051263173	0.077366287	0.004955556	0.003358069	0.995044444	0.003358069	0.891897265	0.2016045
MaAsLin2	20	100	mix	10	0.985313187	0.002974841	0.075444916	0.138614501	0.0335	0.058693908	0.043540554	0.07303548	0.004111111	0.003060691	0.995888889	0.003060691	0.869555084	0.251216076
Wilcox	20	100	mix	10	0.987065934	0.002238049	0.076285714	0.204304073	0.019	0.042991176	0.028008682	0.062080121	0.002177778	0.002301328	0.997822222	0.002301328	0.703714286	0.424815348
ZicoSeq	20	100	mix	10	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	20	100	mix	2	0.988972527	0.000230494	0.005	0.070710678	5.00E-04	0.007071068	0.000909091	0.012856487	4.44E-05	0.000218279	0.999955556	0.000218279	0.04	0.196450922
