name	Sample	OTU	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
ALDEx2_wi	200	100	mix	1	0.989	0.000109614	0	0	0	0	0	0	1.11E-05	0.000110832	0.999988889	0.000110832	0.01	0.099748427
Corncob	200	100	mix	1	0.988928571	0.000396253	0	0	0	0	0	0	8.33E-05	0.000400656	0.999916667	0.000400656	0.05	0.218491861
DACOMP	200	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
DESeq2	200	100	mix	1	0.986648352	0.003215164	0.040368548	0.118247109	0.019	0.047436813	0.023282913	0.056427073	0.0026	0.003455674	0.9974	0.003455674	0.599631452	0.465111552
fastANCOM	200	100	mix	1	0.989005495	7.77E-05	0	0	0	0	0	0	5.56E-06	7.86E-05	0.999994444	7.86E-05	0.005	0.070710678
LEfSe	200	100	mix	1	0.988971942	0.000301471	0.010152284	0.100501179	0.001015228	0.010050118	0.00184587	0.018272942	5.08E-05	0.000281593	0.999949239	0.000281593	0.035532995	0.185594316
limma_voom	200	100	mix	1	0.988917582	0.000601162	0.015625	0.122100479	0.002	0.014035132	0.003282828	0.023442846	0.000116667	0.000653295	0.999883333	0.000653295	0.059375	0.235755461
LinDA	200	100	mix	1	0.988763736	0.001319406	0.014967949	0.108186625	0.003	0.01710153	0.004310074	0.025526877	0.000283333	0.001430819	0.999716667	0.001430819	0.075032051	0.258142101
MaAsLin2	200	100	mix	1	0.988967033	0.000327547	0.01	0.099748427	0.001	0.009974843	0.001818182	0.018136078	5.56E-05	0.000310096	0.999944444	0.000310096	0.04	0.196450922
Wilcox	200	100	mix	1	0.988961538	0.000297601	0.005	0.070710678	5.00E-04	0.007071068	0.000909091	0.012856487	5.56E-05	0.0002894	0.999944444	0.0002894	0.04	0.196450922
ZicoSeq	200	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	200	100	mix	10	0.97043956	0.006894835	0.09123252	0.067846066	0.195	0.151955429	0.12097238	0.088190547	0.020944444	0.00737932	0.979055556	0.00737932	0.90876748	0.067846066
Corncob	200	100	mix	10	0.963763736	0.012301852	0.090369979	0.059308006	0.261	0.197672385	0.127841815	0.080344239	0.028427778	0.013730488	0.971572222	0.013730488	0.909630021	0.059308006
DACOMP	200	100	mix	10	0.980038462	0.002278537	0.086959975	0.088809657	0.086	0.089689582	0.086024184	0.088144742	0.010027778	0.001690918	0.989972222	0.001690918	0.913040025	0.088809657
DESeq2	200	100	mix	10	0.96182967	0.010269372	0.09164379	0.052887369	0.2915	0.191470769	0.136378708	0.079012072	0.030722222	0.011362729	0.969277778	0.011362729	0.90835621	0.052887369
fastANCOM	200	100	mix	10	0.978923077	0.003920976	0.088393414	0.090977666	0.1005	0.105857352	0.092384595	0.094439527	0.011316667	0.003897179	0.988683333	0.003897179	0.911606586	0.090977666
LEfSe	200	100	mix	10	0.957587912	0.013713371	0.090209319	0.048474445	0.3255	0.213135836	0.135887484	0.070949906	0.035388889	0.015427305	0.964611111	0.015427305	0.909790681	0.048474445
limma_voom	200	100	mix	10	0.974357143	0.006434364	0.091412464	0.076558101	0.1515	0.133366725	0.110441272	0.090547662	0.0165	0.006824622	0.9835	0.006824622	0.908587536	0.076558101
LinDA	200	100	mix	10	0.972846154	0.007374196	0.086623665	0.073799714	0.157	0.144065172	0.107334472	0.089234914	0.018088889	0.007942469	0.981911111	0.007942469	0.913376335	0.073799714
MaAsLin2	200	100	mix	10	0.959274725	0.015446669	0.090795286	0.051746621	0.3085	0.221637918	0.132998517	0.073646932	0.033494444	0.017354465	0.966505556	0.017354465	0.909204714	0.051746621
Wilcox	200	100	mix	10	0.958862637	0.014173591	0.09094536	0.050146853	0.318	0.219125718	0.134786295	0.072058959	0.034016667	0.016026483	0.965983333	0.016026483	0.90905464	0.050146853
ZicoSeq	200	100	mix	10	0.988835165	0.001767604	0.001291667	0.01513243	0.003	0.036020653	0.001803922	0.02130171	0.000211111	0.0021058	0.999788889	0.0021058	0.008708333	0.087226071
ALDEx2_wi	200	100	mix	2	0.985653846	0.002040888	0.095845599	0.150424639	0.0425	0.063750062	0.057076826	0.084365795	0.003866667	0.002017235	0.996133333	0.002017235	0.884154401	0.196145291
Corncob	200	100	mix	2	0.985917582	0.002265985	0.095253968	0.15789454	0.0405	0.061878061	0.054625083	0.082595324	0.003577778	0.002312944	0.996422222	0.002312944	0.854746032	0.251189403
DACOMP	200	100	mix	2	0.984104396	0.005010885	0.102297323	0.13854281	0.0595	0.081504385	0.069427037	0.086436542	0.005622222	0.005397115	0.994377778	0.005397115	0.857702677	0.222625615
DESeq2	200	100	mix	2	0.97889011	0.004241872	0.101914658	0.086410069	0.124	0.110839646	0.108831186	0.09188746	0.011611111	0.004456642	0.988388889	0.004456642	0.898085342	0.086410069
fastANCOM	200	100	mix	2	0.986648352	0.001754891	0.085968254	0.172182207	0.0305	0.05509015	0.042797167	0.076082738	0.002727778	0.001829637	0.997272222	0.001829637	0.814031746	0.320653899
LEfSe	200	100	mix	2	0.984675824	0.002632935	0.103487188	0.134795065	0.057	0.073334095	0.070207162	0.086517319	0.005016667	0.002735247	0.994983333	0.002735247	0.891512812	0.148760335
limma_voom	200	100	mix	2	0.984895604	0.002588306	0.097972222	0.141829421	0.051	0.070168498	0.064641761	0.087188439	0.004727778	0.002605185	0.995272222	0.002605185	0.892027778	0.167618741
LinDA	200	100	mix	2	0.983950549	0.003094264	0.101635462	0.128787439	0.0595	0.072359724	0.072238624	0.08654723	0.005777778	0.003088937	0.994222222	0.003088937	0.893364538	0.143404123
MaAsLin2	200	100	mix	2	0.984950549	0.00237355	0.095865079	0.135299921	0.05	0.070175659	0.063507232	0.086341292	0.004661111	0.002370009	0.995338889	0.002370009	0.894134921	0.162261767
Wilcox	200	100	mix	2	0.984895604	0.002671375	0.103762663	0.146815426	0.0525	0.072940741	0.066495449	0.088953849	0.004744444	0.002693495	0.995255556	0.002693495	0.891237337	0.159724539
ZicoSeq	200	100	mix	2	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	200	100	mix	5	0.978785714	0.004784545	0.097089476	0.098171543	0.112	0.107768596	0.100149852	0.09464021	0.011583333	0.004913089	0.988416667	0.004913089	0.902910524	0.098171543
Corncob	200	100	mix	5	0.976071429	0.007796473	0.101871538	0.091099988	0.1415	0.121662479	0.111183872	0.090798475	0.014655556	0.00830015	0.985344444	0.00830015	0.898128462	0.091099988
DACOMP	200	100	mix	5	0.98089011	0.002315555	0.09505612	0.095969459	0.0865	0.086050996	0.089980213	0.089502608	0.009172222	0.001799551	0.990827778	0.001799551	0.90494388	0.095969459
DESeq2	200	100	mix	5	0.969565934	0.007115042	0.092942944	0.058585227	0.2055	0.141491517	0.125015459	0.078436137	0.021944444	0.007634681	0.978055556	0.007634681	0.907057056	0.058585227
fastANCOM	200	100	mix	5	0.981126374	0.002282953	0.094847312	0.097267407	0.083	0.081512092	0.087960693	0.087329166	0.008894444	0.001777001	0.991105556	0.001777001	0.905152688	0.097267407
LEfSe	200	100	mix	5	0.972016484	0.009952118	0.100099064	0.076738477	0.188	0.14922244	0.122345171	0.085761421	0.019272222	0.010901767	0.980727778	0.010901767	0.899900936	0.076738477
limma_voom	200	100	mix	5	0.978412088	0.003771307	0.092556164	0.082554538	0.109	0.098322615	0.0984359	0.086382748	0.011927778	0.003654672	0.988072222	0.003654672	0.907443836	0.082554538
LinDA	200	100	mix	5	0.978208791	0.003958482	0.095446739	0.082284885	0.115	0.101124333	0.102273312	0.086212372	0.0122	0.003919217	0.9878	0.003919217	0.904553261	0.082284885
MaAsLin2	200	100	mix	5	0.973802198	0.009112149	0.097963288	0.076000614	0.162	0.132072768	0.115128844	0.084404521	0.017177778	0.009862156	0.982822222	0.009862156	0.902036712	0.076000614
Wilcox	200	100	mix	5	0.974230769	0.009365233	0.099580722	0.082998179	0.165	0.142395161	0.115794543	0.087896038	0.016777778	0.01030101	0.983222222	0.01030101	0.900419278	0.082998179
ZicoSeq	200	100	mix	5	0.988917582	0.001320969	0.00047619	0.00673435	0.001	0.014142136	0.000645161	0.009123958	0.000105556	0.001492781	0.999894444	0.001492781	0.00452381	0.063976328
ALDEx2_wi	200	1000	mix	1	0.9	0	0	0	0	0	0	0	0	0	1	0	0	0
Corncob	200	1000	mix	1	0.89999	9.97E-05	0	0	0	0	0	0	1.11E-05	0.000110832	0.999988889	0.000110832	0.01	0.099748427
DACOMP	200	1000	mix	1	0.9	0	0	0	0	0	0	0	0	0	1	0	0	0
DESeq2	200	1000	mix	1	0.898775	0.001481672	0.023666667	0.133525406	0.00045	0.002307406	0.000874059	0.004466148	0.001411111	0.001643558	0.998588889	0.001643558	0.596333333	0.486349567
